Datum (UTC),Last
,Leistung (MW)
2023-12-31T23:00+00:00,8036.2
2024-01-01T00:00+00:00,7692.4
2024-01-01T01:00+00:00,7867.1
2024-01-01T02:00+00:00,7934.4
2024-01-01T03:00+00:00,7717.7
2024-01-01T04:00+00:00,7667.3
2024-01-01T05:00+00:00,7750.9
2024-01-01T06:00+00:00,7743.8
2024-01-01T07:00+00:00,7606.3
2024-01-01T08:00+00:00,7648.3
2024-01-01T09:00+00:00,7976.4
2024-01-01T10:00+00:00,8048.1
2024-01-01T11:00+00:00,8159.1
2024-01-01T12:00+00:00,8380.3
2024-01-01T13:00+00:00,8113.2
2024-01-01T14:00+00:00,7975.4
2024-01-01T15:00+00:00,7793.2
2024-01-01T16:00+00:00,7312.3
2024-01-01T17:00+00:00,7505.8
2024-01-01T18:00+00:00,7453.7
2024-01-01T19:00+00:00,7281.5
2024-01-01T20:00+00:00,7120.9
2024-01-01T21:00+00:00,7264.4
2024-01-01T22:00+00:00,7276.9
2024-01-01T23:00+00:00,7769.3
2024-01-02T00:00+00:00,7878.1
2024-01-02T01:00+00:00,7795.2
2024-01-02T02:00+00:00,7579.8
2024-01-02T03:00+00:00,7499.7
2024-01-02T04:00+00:00,7467.4
2024-01-02T05:00+00:00,7576.7
2024-01-02T06:00+00:00,7142.8
2024-01-02T07:00+00:00,6770.8
2024-01-02T08:00+00:00,6816
2024-01-02T09:00+00:00,6985.5
2024-01-02T10:00+00:00,7096.8
2024-01-02T11:00+00:00,7055.9
2024-01-02T12:00+00:00,7175.3
2024-01-02T13:00+00:00,7092.9
2024-01-02T14:00+00:00,7073.3
2024-01-02T15:00+00:00,6992.9
2024-01-02T16:00+00:00,7248.8
2024-01-02T17:00+00:00,7723.8
2024-01-02T18:00+00:00,7761.3
2024-01-02T19:00+00:00,7570.8
2024-01-02T20:00+00:00,7408.1
2024-01-02T21:00+00:00,7532.7
2024-01-02T22:00+00:00,7804.9
2024-01-02T23:00+00:00,7928.4
2024-01-03T00:00+00:00,7761.9
2024-01-03T01:00+00:00,7884.9
2024-01-03T02:00+00:00,7730.7
2024-01-03T03:00+00:00,7785.1
2024-01-03T04:00+00:00,7754
2024-01-03T05:00+00:00,8097.6
2024-01-03T06:00+00:00,8081.2
2024-01-03T07:00+00:00,8266.1
2024-01-03T08:00+00:00,8330.8
2024-01-03T09:00+00:00,8088.5
2024-01-03T10:00+00:00,8168.6
2024-01-03T11:00+00:00,8244.2
2024-01-03T12:00+00:00,8695.6
2024-01-03T13:00+00:00,8480
2024-01-03T14:00+00:00,8409.9
2024-01-03T15:00+00:00,8041.9
2024-01-03T16:00+00:00,7624
2024-01-03T17:00+00:00,7817.1
2024-01-03T18:00+00:00,7842.7
2024-01-03T19:00+00:00,7585.9
2024-01-03T20:00+00:00,7412.6
2024-01-03T21:00+00:00,7319.4
2024-01-03T22:00+00:00,7560.8
2024-01-03T23:00+00:00,7605.4
2024-01-04T00:00+00:00,7830.6
2024-01-04T01:00+00:00,7851.1
2024-01-04T02:00+00:00,7825.2
2024-01-04T03:00+00:00,7813.9
2024-01-04T04:00+00:00,7809
2024-01-04T05:00+00:00,7963.5
2024-01-04T06:00+00:00,7747.6
2024-01-04T07:00+00:00,7362.6
2024-01-04T08:00+00:00,7591.8
2024-01-04T09:00+00:00,7734.4
2024-01-04T10:00+00:00,7834
2024-01-04T11:00+00:00,8053.2
2024-01-04T12:00+00:00,7782
2024-01-04T13:00+00:00,7365.4
2024-01-04T14:00+00:00,7038.1
2024-01-04T15:00+00:00,7157.8
2024-01-04T16:00+00:00,7502.8
2024-01-04T17:00+00:00,8123.1
2024-01-04T18:00+00:00,8240
2024-01-04T19:00+00:00,7924.9
2024-01-04T20:00+00:00,7473.6
2024-01-04T21:00+00:00,7049
2024-01-04T22:00+00:00,6900.2
2024-01-04T23:00+00:00,6689.2
2024-01-05T00:00+00:00,7132.4
2024-01-05T01:00+00:00,7344.6
2024-01-05T02:00+00:00,7445.9
2024-01-05T03:00+00:00,7327
2024-01-05T04:00+00:00,7256.1
2024-01-05T05:00+00:00,7377.5
