Datum (UTC),Day Ahead Auktion (CH)
,"Preis (EUR/MWh, EUR/tCO2)"
2022-12-31T23:00+00:00,0.03
2023-01-01T00:00+00:00,-7.25
2023-01-01T01:00+00:00,-3.99
2023-01-01T02:00+00:00,-7.71
2023-01-01T03:00+00:00,-9.71
2023-01-01T04:00+00:00,-15.15
2023-01-01T05:00+00:00,-14.33
2023-01-01T06:00+00:00,-0.66
2023-01-01T07:00+00:00,0.02
2023-01-01T08:00+00:00,-1.23
2023-01-01T09:00+00:00,-6.11
2023-01-01T10:00+00:00,0.28
2023-01-01T11:00+00:00,2.96
2023-01-01T12:00+00:00,-0.79
2023-01-01T13:00+00:00,3.06
2023-01-01T14:00+00:00,9.53
2023-01-01T15:00+00:00,19.95
2023-01-01T16:00+00:00,30.46
2023-01-01T17:00+00:00,34.39
2023-01-01T18:00+00:00,35.15
2023-01-01T19:00+00:00,29.57
2023-01-01T20:00+00:00,24.92
2023-01-01T21:00+00:00,20.72
2023-01-01T22:00+00:00,13.46
2023-01-01T23:00+00:00,40.37
2023-01-02T00:00+00:00,29.23
2023-01-02T01:00+00:00,22.28
2023-01-02T02:00+00:00,14.17
2023-01-02T03:00+00:00,24.94
2023-01-02T04:00+00:00,48.84
2023-01-02T05:00+00:00,74.52
2023-01-02T06:00+00:00,112.32
2023-01-02T07:00+00:00,123.03
2023-01-02T08:00+00:00,125.92
2023-01-02T09:00+00:00,127.31
2023-01-02T10:00+00:00,125.47
2023-01-02T11:00+00:00,129.43
2023-01-02T12:00+00:00,120.34
2023-01-02T13:00+00:00,132.27
2023-01-02T14:00+00:00,136.2
2023-01-02T15:00+00:00,145.91
2023-01-02T16:00+00:00,153.85
2023-01-02T17:00+00:00,161.43
2023-01-02T18:00+00:00,154.75
2023-01-02T19:00+00:00,148.62
2023-01-02T20:00+00:00,134.97
2023-01-02T21:00+00:00,121.01
2023-01-02T22:00+00:00,112.1
2023-01-02T23:00+00:00,119.17
2023-01-03T00:00+00:00,113.38
2023-01-03T01:00+00:00,108.94
2023-01-03T02:00+00:00,101.05
2023-01-03T03:00+00:00,105.86
2023-01-03T04:00+00:00,119.07
2023-01-03T05:00+00:00,156.05
2023-01-03T06:00+00:00,183.96
2023-01-03T07:00+00:00,185.2
2023-01-03T08:00+00:00,186.56
2023-01-03T09:00+00:00,184.08
2023-01-03T10:00+00:00,179.02
2023-01-03T11:00+00:00,171.42
2023-01-03T12:00+00:00,167.95
2023-01-03T13:00+00:00,170.04
2023-01-03T14:00+00:00,171.8
2023-01-03T15:00+00:00,172.47
2023-01-03T16:00+00:00,186.24
2023-01-03T17:00+00:00,180.86
2023-01-03T18:00+00:00,171.49
2023-01-03T19:00+00:00,158.72
2023-01-03T20:00+00:00,147.74
2023-01-03T21:00+00:00,141.58
2023-01-03T22:00+00:00,113.49
2023-01-03T23:00+00:00,121.55
2023-01-04T00:00+00:00,104.19
2023-01-04T01:00+00:00,88.65
2023-01-04T02:00+00:00,84.82
2023-01-04T03:00+00:00,83.95
2023-01-04T04:00+00:00,111.52
2023-01-04T05:00+00:00,128.92
2023-01-04T06:00+00:00,147.38
2023-01-04T07:00+00:00,154.3
2023-01-04T08:00+00:00,158.76
2023-01-04T09:00+00:00,153.82
2023-01-04T10:00+00:00,151.4
2023-01-04T11:00+00:00,155.46
2023-01-04T12:00+00:00,153.47
2023-01-04T13:00+00:00,156.53
2023-01-04T14:00+00:00,152.6
2023-01-04T15:00+00:00,154.18
2023-01-04T16:00+00:00,152.6
2023-01-04T17:00+00:00,157.59
2023-01-04T18:00+00:00,155
2023-01-04T19:00+00:00,149.07
2023-01-04T20:00+00:00,148.57
2023-01-04T21:00+00:00,144.52
2023-01-04T22:00+00:00,124.96
2023-01-04T23:00+00:00,110.55
2023-01-05T00:00+00:00,111.24
2023-01-05T01:00+00:00,110.04
2023-01-05T02:00+00:00,109.41
2023-01-05T03:00+00:00,108.78
2023-01-05T04:00+00:00,112.11
2023-01-05T05:00+00:00,121.98
2023-01-05T06:00+00:00,129.95
2023-01-05T07:00+00:00,142.56
2023-01-05T08:00+00:00,146.72
2023-01-05T09:00+00:00,143.07
2023-01-05T10:00+00:00,145.88
2023-01-05T11:00+00:00,146.54
2023-01-05T12:00+00:00,146.57
2023-01-05T13:00+00:00,154.18
2023-01-05T14:00+00:00,156.39
2023-01-05T15:00+00:00,159.96
2023-01-05T16:00+00:00,177.53
2023-01-05T17:00+00:00,180.1
2023-01-05T18:00+00:00,174.24
2023-01-05T19:00+00:00,166.48
2023-01-05T20:00+00:00,153.62
2023-01-05T21:00+00:00,143.3
2023-01-05T22:00+00:00,125.23
2023-01-05T23:00+00:00,110.86
2023-01-06T00:00+00:00,105.48
2023-01-06T01:00+00:00,103.74
2023-01-06T02:00+00:00,102.78
2023-01-06T03:00+00:00,102.25
2023-01-06T04:00+00:00,106.81
2023-01-06T05:00+00:00,115.53
2023-01-06T06:00+00:00,141.33
2023-01-06T07:00+00:00,141.17
2023-01-06T08:00+00:00,141.65
2023-01-06T09:00+00:00,140.49
2023-01-06T10:00+00:00,142.56
2023-01-06T11:00+00:00,135.31
2023-01-06T12:00+00:00,119.88
2023-01-06T13:00+00:00,126.22
2023-01-06T14:00+00:00,137.55
2023-01-06T15:00+00:00,147.99
2023-01-06T16:00+00:00,154.93
2023-01-06T17:00+00:00,163.22
2023-01-06T18:00+00:00,159.89
2023-01-06T19:00+00:00,150.62
2023-01-06T20:00+00:00,140.75
2023-01-06T21:00+00:00,139.19
2023-01-06T22:00+00:00,126.7
2023-01-06T23:00+00:00,142.68
2023-01-07T00:00+00:00,126.98
2023-01-07T01:00+00:00,121.05
2023-01-07T02:00+00:00,119.9
2023-01-07T03:00+00:00,114.69
2023-01-07T04:00+00:00,128.23
2023-01-07T05:00+00:00,132.99
2023-01-07T06:00+00:00,150.11
2023-01-07T07:00+00:00,152.26
2023-01-07T08:00+00:00,140.89
2023-01-07T09:00+00:00,151.29
2023-01-07T10:00+00:00,151.09
2023-01-07T11:00+00:00,157.01
2023-01-07T12:00+00:00,155.08
2023-01-07T13:00+00:00,159.93
2023-01-07T14:00+00:00,155.08
2023-01-07T15:00+00:00,160
2023-01-07T16:00+00:00,163.18
2023-01-07T17:00+00:00,164.42
2023-01-07T18:00+00:00,164.23
2023-01-07T19:00+00:00,159.13
2023-01-07T20:00+00:00,154.29
2023-01-07T21:00+00:00,156.36
2023-01-07T22:00+00:00,151.06
2023-01-07T23:00+00:00,141.59
2023-01-08T00:00+00:00,127.4
2023-01-08T01:00+00:00,113.94
2023-01-08T02:00+00:00,114.05
2023-01-08T03:00+00:00,110
2023-01-08T04:00+00:00,113.74
2023-01-08T05:00+00:00,118.62
2023-01-08T06:00+00:00,125.45
2023-01-08T07:00+00:00,125.49
2023-01-08T08:00+00:00,143.95
2023-01-08T09:00+00:00,142.5
2023-01-08T10:00+00:00,141.96
2023-01-08T11:00+00:00,141.14
2023-01-08T12:00+00:00,127.44
2023-01-08T13:00+00:00,126.62
2023-01-08T14:00+00:00,133.98
2023-01-08T15:00+00:00,146.08
2023-01-08T16:00+00:00,158.2
2023-01-08T17:00+00:00,156
2023-01-08T18:00+00:00,155.2
2023-01-08T19:00+00:00,141.33
2023-01-08T20:00+00:00,143.66
2023-01-08T21:00+00:00,131.8
2023-01-08T22:00+00:00,113.3
2023-01-08T23:00+00:00,96.03
2023-01-09T00:00+00:00,77.52
2023-01-09T01:00+00:00,55.08
2023-01-09T02:00+00:00,45.51
2023-01-09T03:00+00:00,57.28
2023-01-09T04:00+00:00,118.47
2023-01-09T05:00+00:00,136.67
2023-01-09T06:00+00:00,162.31
2023-01-09T07:00+00:00,175.08
2023-01-09T08:00+00:00,172.54
2023-01-09T09:00+00:00,166.07
2023-01-09T10:00+00:00,172.17
