Datum (UTC),Erdgas
,Leistung (MW)
2022-12-31T23:00+00:00,1814.9
2022-12-31T23:15+00:00,1813.9
2022-12-31T23:30+00:00,1824.3
2022-12-31T23:45+00:00,1818.1
2023-01-01T00:00+00:00,1660.4
2023-01-01T00:15+00:00,1653.2
2023-01-01T00:30+00:00,1670
2023-01-01T00:45+00:00,1669.8
2023-01-01T01:00+00:00,1660.6
2023-01-01T01:15+00:00,1672.9
2023-01-01T01:30+00:00,1673.2
2023-01-01T01:45+00:00,1659.6
2023-01-01T02:00+00:00,1640
2023-01-01T02:15+00:00,1675.8
2023-01-01T02:30+00:00,1659.9
2023-01-01T02:45+00:00,1662.1
2023-01-01T03:00+00:00,1665.2
2023-01-01T03:15+00:00,1663.5
2023-01-01T03:30+00:00,1664.2
2023-01-01T03:45+00:00,1586.3
2023-01-01T04:00+00:00,1597.8
2023-01-01T04:15+00:00,1644.9
2023-01-01T04:30+00:00,1636.9
2023-01-01T04:45+00:00,1652.2
2023-01-01T05:00+00:00,1661
2023-01-01T05:15+00:00,1669.2
2023-01-01T05:30+00:00,1673.7
2023-01-01T05:45+00:00,1675.7
2023-01-01T06:00+00:00,1651.5
2023-01-01T06:15+00:00,1667.5
2023-01-01T06:30+00:00,1666.6
2023-01-01T06:45+00:00,1659.3
2023-01-01T07:00+00:00,1659.9
2023-01-01T07:15+00:00,1659.8
2023-01-01T07:30+00:00,1659.6
2023-01-01T07:45+00:00,1644.5
2023-01-01T08:00+00:00,1648
2023-01-01T08:15+00:00,1649.9
2023-01-01T08:30+00:00,1626.7
2023-01-01T08:45+00:00,1625.2
2023-01-01T09:00+00:00,1626.5
2023-01-01T09:15+00:00,1625.6
2023-01-01T09:30+00:00,1621.3
2023-01-01T09:45+00:00,1618.2
2023-01-01T10:00+00:00,1621.6
2023-01-01T10:15+00:00,1628.4
2023-01-01T10:30+00:00,1625.3
2023-01-01T10:45+00:00,1620
2023-01-01T11:00+00:00,1606.4
2023-01-01T11:15+00:00,1609.7
2023-01-01T11:30+00:00,1612.6
2023-01-01T11:45+00:00,1596
2023-01-01T12:00+00:00,1596.5
2023-01-01T12:15+00:00,1613.9
2023-01-01T12:30+00:00,1614.3
2023-01-01T12:45+00:00,1622.8
2023-01-01T13:00+00:00,1629.3
2023-01-01T13:15+00:00,1624.4
2023-01-01T13:30+00:00,1624.4
2023-01-01T13:45+00:00,1614.8
2023-01-01T14:00+00:00,1611.8
2023-01-01T14:15+00:00,1620.5
2023-01-01T14:30+00:00,1613.3
2023-01-01T14:45+00:00,1596.6
2023-01-01T15:00+00:00,1712.3
2023-01-01T15:15+00:00,1724.4
2023-01-01T15:30+00:00,1725.8
2023-01-01T15:45+00:00,1711.6
2023-01-01T16:00+00:00,1679.8
2023-01-01T16:15+00:00,1691.2
2023-01-01T16:30+00:00,1709.6
2023-01-01T16:45+00:00,1700.5
2023-01-01T17:00+00:00,1761.6
2023-01-01T17:15+00:00,1746.3
2023-01-01T17:30+00:00,1738
2023-01-01T17:45+00:00,1758.7
2023-01-01T18:00+00:00,1737.6
2023-01-01T18:15+00:00,1747.9
2023-01-01T18:30+00:00,1734.4
2023-01-01T18:45+00:00,1719.2
2023-01-01T19:00+00:00,1757.6
2023-01-01T19:15+00:00,1764.7
2023-01-01T19:30+00:00,1771.5
2023-01-01T19:45+00:00,1768.6
2023-01-01T20:00+00:00,1713.7
2023-01-01T20:15+00:00,1744.7
2023-01-01T20:30+00:00,1728.4
2023-01-01T20:45+00:00,1735.4
2023-01-01T21:00+00:00,1741.4
2023-01-01T21:15+00:00,1751.9
2023-01-01T21:30+00:00,1770.3
2023-01-01T21:45+00:00,1776.1
2023-01-01T22:00+00:00,1768
2023-01-01T22:15+00:00,1766.8
2023-01-01T22:30+00:00,1749.2
2023-01-01T22:45+00:00,1772.5
2023-01-01T23:00+00:00,1822.1
2023-01-01T23:15+00:00,1798.2
2023-01-01T23:30+00:00,1815.4
2023-01-01T23:45+00:00,1820.9
2023-01-02T00:00+00:00,1776.8
2023-01-02T00:15+00:00,1768.8
2023-01-02T00:30+00:00,1798.7
2023-01-02T00:45+00:00,1802.5
2023-01-02T01:00+00:00,1819
2023-01-02T01:15+00:00,1815.6
2023-01-02T01:30+00:00,1814
2023-01-02T01:45+00:00,1820.1
2023-01-02T02:00+00:00,1810.3
2023-01-02T02:15+00:00,1810
2023-01-02T02:30+00:00,1804.2
2023-01-02T02:45+00:00,1814.5
2023-01-02T03:00+00:00,1835.8
2023-01-02T03:15+00:00,1816.2
2023-01-02T03:30+00:00,1831.7
2023-01-02T03:45+00:00,1859.1
2023-01-02T04:00+00:00,1873.2
2023-01-02T04:15+00:00,1907
2023-01-02T04:30+00:00,1918.6
2023-01-02T04:45+00:00,1909
2023-01-02T05:00+00:00,2049.1
2023-01-02T05:15+00:00,2063
2023-01-02T05:30+00:00,2100
2023-01-02T05:45+00:00,2125.3
2023-01-02T06:00+00:00,2181.2
2023-01-02T06:15+00:00,2242
2023-01-02T06:30+00:00,2223.4
2023-01-02T06:45+00:00,2187.2
2023-01-02T07:00+00:00,2184.8
2023-01-02T07:15+00:00,2195.1
2023-01-02T07:30+00:00,2222
2023-01-02T07:45+00:00,2239.9
2023-01-02T08:00+00:00,2315.6
2023-01-02T08:15+00:00,2327.4
2023-01-02T08:30+00:00,2323.4
2023-01-02T08:45+00:00,2344.5
2023-01-02T09:00+00:00,2428.6
2023-01-02T09:15+00:00,2475.5
2023-01-02T09:30+00:00,2512.8
2023-01-02T09:45+00:00,2556.6
2023-01-02T10:00+00:00,2466
2023-01-02T10:15+00:00,2476.8
2023-01-02T10:30+00:00,2737.6
2023-01-02T10:45+00:00,2741.7
2023-01-02T11:00+00:00,2410.4
2023-01-02T11:15+00:00,2344.1
2023-01-02T11:30+00:00,2381.7
2023-01-02T11:45+00:00,2354.6
2023-01-02T12:00+00:00,2248.8
2023-01-02T12:15+00:00,2284.8
2023-01-02T12:30+00:00,2309.2
2023-01-02T12:45+00:00,2323.7
2023-01-02T13:00+00:00,2366.2
2023-01-02T13:15+00:00,2535.2
2023-01-02T13:30+00:00,2726.6
2023-01-02T13:45+00:00,2718.4
2023-01-02T14:00+00:00,2652.1
2023-01-02T14:15+00:00,2737.4
2023-01-02T14:30+00:00,2595.7
2023-01-02T14:45+00:00,2628.2
2023-01-02T15:00+00:00,2784.5
2023-01-02T15:15+00:00,2718.6
2023-01-02T15:30+00:00,2658.3
2023-01-02T15:45+00:00,2731.5
2023-01-02T16:00+00:00,2919.4
2023-01-02T16:15+00:00,2912.5
2023-01-02T16:30+00:00,2924.4
2023-01-02T16:45+00:00,2919
2023-01-02T17:00+00:00,2924.5
2023-01-02T17:15+00:00,2909.9
2023-01-02T17:30+00:00,2899.6
2023-01-02T17:45+00:00,2901.2
2023-01-02T18:00+00:00,2909.4
2023-01-02T18:15+00:00,2947.9
2023-01-02T18:30+00:00,3050.5
2023-01-02T18:45+00:00,3031.6
2023-01-02T19:00+00:00,2922.3
2023-01-02T19:15+00:00,2869.5
2023-01-02T19:30+00:00,2908.8
2023-01-02T19:45+00:00,2889.5
2023-01-02T20:00+00:00,2812.5
2023-01-02T20:15+00:00,2791
2023-01-02T20:30+00:00,2753.2
2023-01-02T20:45+00:00,2760
2023-01-02T21:00+00:00,2747.9
2023-01-02T21:15+00:00,2748.1
2023-01-02T21:30+00:00,2763.1
2023-01-02T21:45+00:00,2743.2
2023-01-02T22:00+00:00,2675.8
2023-01-02T22:15+00:00,2703.8
2023-01-02T22:30+00:00,2697
2023-01-02T22:45+00:00,2558.1
2023-01-02T23:00+00:00,2502.4
2023-01-02T23:15+00:00,2412.1
2023-01-02T23:30+00:00,2417.7
2023-01-02T23:45+00:00,2437.6
2023-01-03T00:00+00:00,2398.6
2023-01-03T00:15+00:00,2416.6
2023-01-03T00:30+00:00,2425
2023-01-03T00:45+00:00,2401.2
2023-01-03T01:00+00:00,2282.2
2023-01-03T01:15+00:00,2213.5
2023-01-03T01:30+00:00,2206.5
2023-01-03T01:45+00:00,2198.6
2023-01-03T02:00+00:00,2253.9
2023-01-03T02:15+00:00,2247.6
2023-01-03T02:30+00:00,2230.6
2023-01-03T02:45+00:00,2275.4
2023-01-03T03:00+00:00,2324.7
2023-01-03T03:15+00:00,2343.7
2023-01-03T03:30+00:00,2350.8
2023-01-03T03:45+00:00,2374.4
2023-01-03T04:00+00:00,2418.8
2023-01-03T04:15+00:00,2463.7
2023-01-03T04:30+00:00,2524.5
2023-01-03T04:45+00:00,2714.2
2023-01-03T05:00+00:00,3206.9
2023-01-03T05:15+00:00,3229.2
2023-01-03T05:30+00:00,3452.2
2023-01-03T05:45+00:00,3508.9
2023-01-03T06:00+00:00,3773.1
2023-01-03T06:15+00:00,3846.1
2023-01-03T06:30+00:00,3775.8
2023-01-03T06:45+00:00,3773
2023-01-03T07:00+00:00,3866
2023-01-03T07:15+00:00,3890
2023-01-03T07:30+00:00,3907.6
2023-01-03T07:45+00:00,3875.5
2023-01-03T08:00+00:00,3879.2
2023-01-03T08:15+00:00,3890.3
2023-01-03T08:30+00:00,3875.5
2023-01-03T08:45+00:00,3886
2023-01-03T09:00+00:00,3875
2023-01-03T09:15+00:00,3880.7
2023-01-03T09:30+00:00,3892.4
2023-01-03T09:45+00:00,3872.3
2023-01-03T10:00+00:00,3872.6
2023-01-03T10:15+00:00,3847.2
2023-01-03T10:30+00:00,3828.3
2023-01-03T10:45+00:00,3857.7
2023-01-03T11:00+00:00,3817.6
2023-01-03T11:15+00:00,3819.7
2023-01-03T11:30+00:00,3780.4
2023-01-03T11:45+00:00,3801
2023-01-03T12:00+00:00,3845.5
2023-01-03T12:15+00:00,3861.9
2023-01-03T12:30+00:00,3870.6
2023-01-03T12:45+00:00,3877.9
2023-01-03T13:00+00:00,3886.8
2023-01-03T13:15+00:00,3884
2023-01-03T13:30+00:00,3878.4
2023-01-03T13:45+00:00,3922.9
2023-01-03T14:00+00:00,3949.3
2023-01-03T14:15+00:00,3968.4
2023-01-03T14:30+00:00,3963.3
2023-01-03T14:45+00:00,3974.5
2023-01-03T15:00+00:00,3999.1
2023-01-03T15:15+00:00,4017
2023-01-03T15:30+00:00,4058.7
2023-01-03T15:45+00:00,4220.4
2023-01-03T16:00+00:00,4433.1
2023-01-03T16:15+00:00,4445.1
2023-01-03T16:30+00:00,4452.1
2023-01-03T16:45+00:00,4461.7
2023-01-03T17:00+00:00,4372.2
2023-01-03T17:15+00:00,4335.1
2023-01-03T17:30+00:00,4381.9
2023-01-03T17:45+00:00,4400.1
2023-01-03T18:00+00:00,4051.6
2023-01-03T18:15+00:00,4026.8
2023-01-03T18:30+00:00,3925.5
2023-01-03T18:45+00:00,3912.6
2023-01-03T19:00+00:00,3855.7
2023-01-03T19:15+00:00,3682.1
2023-01-03T19:30+00:00,3657.6
2023-01-03T19:45+00:00,3612.5
2023-01-03T20:00+00:00,3464.6
2023-01-03T20:15+00:00,3471.6
2023-01-03T20:30+00:00,3302.4
2023-01-03T20:45+00:00,3149.2
2023-01-03T21:00+00:00,2914.5
2023-01-03T21:15+00:00,2781.3
2023-01-03T21:30+00:00,2780.2
2023-01-03T21:45+00:00,2768.6
2023-01-03T22:00+00:00,2616.6
2023-01-03T22:15+00:00,2499.4
2023-01-03T22:30+00:00,2495.6
2023-01-03T22:45+00:00,2412.7
2023-01-03T23:00+00:00,2393.3
2023-01-03T23:15+00:00,2376.9
2023-01-03T23:30+00:00,2377.2
2023-01-03T23:45+00:00,2363.1
2023-01-04T00:00+00:00,2218.6
2023-01-04T00:15+00:00,2232.7
2023-01-04T00:30+00:00,2225.2
2023-01-04T00:45+00:00,2222.6
2023-01-04T01:00+00:00,2274.4
2023-01-04T01:15+00:00,2257
2023-01-04T01:30+00:00,2249.2
2023-01-04T01:45+00:00,2273.9
2023-01-04T02:00+00:00,2180.6
2023-01-04T02:15+00:00,2187.4
2023-01-04T02:30+00:00,2167.3
2023-01-04T02:45+00:00,2171.6
2023-01-04T03:00+00:00,2183.3
2023-01-04T03:15+00:00,2165
2023-01-04T03:30+00:00,2162.1
2023-01-04T03:45+00:00,2189.1
2023-01-04T04:00+00:00,2189.5
2023-01-04T04:15+00:00,2182.9
2023-01-04T04:30+00:00,2196.8
2023-01-04T04:45+00:00,2233.8
2023-01-04T05:00+00:00,2259.1
2023-01-04T05:15+00:00,2277.5
2023-01-04T05:30+00:00,2293.4
2023-01-04T05:45+00:00,2283
2023-01-04T06:00+00:00,2321.8
2023-01-04T06:15+00:00,2355.4
2023-01-04T06:30+00:00,2367.3
2023-01-04T06:45+00:00,2361.4
2023-01-04T07:00+00:00,2387
2023-01-04T07:15+00:00,2400
2023-01-04T07:30+00:00,2406.1
2023-01-04T07:45+00:00,2421.1
2023-01-04T08:00+00:00,2378.3
2023-01-04T08:15+00:00,2383.4
2023-01-04T08:30+00:00,2372.8
2023-01-04T08:45+00:00,2384.3
2023-01-04T09:00+00:00,2398.8
2023-01-04T09:15+00:00,2400.5
2023-01-04T09:30+00:00,2404.7
2023-01-04T09:45+00:00,2411.4
2023-01-04T10:00+00:00,2471.9
2023-01-04T10:15+00:00,2464.6
2023-01-04T10:30+00:00,2363.1
2023-01-04T10:45+00:00,2354.4
2023-01-04T11:00+00:00,2340.9
2023-01-04T11:15+00:00,2344.3
2023-01-04T11:30+00:00,2359.6
2023-01-04T11:45+00:00,2374.9
2023-01-04T12:00+00:00,2348.9
2023-01-04T12:15+00:00,2365.6
2023-01-04T12:30+00:00,2360.5
2023-01-04T12:45+00:00,2377.9
2023-01-04T13:00+00:00,2377.2
2023-01-04T13:15+00:00,2373
2023-01-04T13:30+00:00,2379.1
2023-01-04T13:45+00:00,2371.8
2023-01-04T14:00+00:00,2379.9
2023-01-04T14:15+00:00,2370.3
2023-01-04T14:30+00:00,2380.4
2023-01-04T14:45+00:00,2374.1
2023-01-04T15:00+00:00,2381.3
2023-01-04T15:15+00:00,2432.2
2023-01-04T15:30+00:00,2464.5
2023-01-04T15:45+00:00,2495.2
2023-01-04T16:00+00:00,2498.1
2023-01-04T16:15+00:00,2517
2023-01-04T16:30+00:00,2523
2023-01-04T16:45+00:00,2518
2023-01-04T17:00+00:00,2515.1
2023-01-04T17:15+00:00,2592.7
