Datum (UTC),Steinkohle
,Leistung (MW)
2022-12-31T23:00+00:00,2068.4
2022-12-31T23:15+00:00,2072
2022-12-31T23:30+00:00,2068.1
2022-12-31T23:45+00:00,2061.9
2023-01-01T00:00+00:00,2052.5
2023-01-01T00:15+00:00,2055.5
2023-01-01T00:30+00:00,2054.9
2023-01-01T00:45+00:00,2044.3
2023-01-01T01:00+00:00,2039.3
2023-01-01T01:15+00:00,2035.9
2023-01-01T01:30+00:00,2031.6
2023-01-01T01:45+00:00,2030.2
2023-01-01T02:00+00:00,2036.2
2023-01-01T02:15+00:00,2038.8
2023-01-01T02:30+00:00,2037.9
2023-01-01T02:45+00:00,2035.3
2023-01-01T03:00+00:00,2034.6
2023-01-01T03:15+00:00,2038.5
2023-01-01T03:30+00:00,2044.9
2023-01-01T03:45+00:00,2042
2023-01-01T04:00+00:00,2032.9
2023-01-01T04:15+00:00,2041.4
2023-01-01T04:30+00:00,2036.1
2023-01-01T04:45+00:00,2036.3
2023-01-01T05:00+00:00,2035.7
2023-01-01T05:15+00:00,2033.4
2023-01-01T05:30+00:00,2034.3
2023-01-01T05:45+00:00,2028.5
2023-01-01T06:00+00:00,2032.2
2023-01-01T06:15+00:00,2030.9
2023-01-01T06:30+00:00,2027.6
2023-01-01T06:45+00:00,2033.2
2023-01-01T07:00+00:00,2033.8
2023-01-01T07:15+00:00,2032.9
2023-01-01T07:30+00:00,2035.6
2023-01-01T07:45+00:00,2045.5
2023-01-01T08:00+00:00,2049.3
2023-01-01T08:15+00:00,2037.5
2023-01-01T08:30+00:00,2026.5
2023-01-01T08:45+00:00,2000.3
2023-01-01T09:00+00:00,1999.2
2023-01-01T09:15+00:00,2001.7
2023-01-01T09:30+00:00,1996.3
2023-01-01T09:45+00:00,1992.6
2023-01-01T10:00+00:00,1998
2023-01-01T10:15+00:00,2008.1
2023-01-01T10:30+00:00,2006
2023-01-01T10:45+00:00,2008.5
2023-01-01T11:00+00:00,2023
2023-01-01T11:15+00:00,2019.7
2023-01-01T11:30+00:00,2019
2023-01-01T11:45+00:00,2021.7
2023-01-01T12:00+00:00,2042.2
2023-01-01T12:15+00:00,2045.3
2023-01-01T12:30+00:00,2048.4
2023-01-01T12:45+00:00,2050.7
2023-01-01T13:00+00:00,2053.6
2023-01-01T13:15+00:00,2051.4
2023-01-01T13:30+00:00,2045.7
2023-01-01T13:45+00:00,2040.9
2023-01-01T14:00+00:00,2057
2023-01-01T14:15+00:00,2066.8
2023-01-01T14:30+00:00,2071.4
2023-01-01T14:45+00:00,2131.4
2023-01-01T15:00+00:00,2295.8
2023-01-01T15:15+00:00,2453.3
2023-01-01T15:30+00:00,2513.4
2023-01-01T15:45+00:00,2539.2
2023-01-01T16:00+00:00,2307.7
2023-01-01T16:15+00:00,2206.5
2023-01-01T16:30+00:00,2207.5
2023-01-01T16:45+00:00,2230.2
2023-01-01T17:00+00:00,2274.8
2023-01-01T17:15+00:00,2362.7
2023-01-01T17:30+00:00,2391.1
2023-01-01T17:45+00:00,2417.6
2023-01-01T18:00+00:00,2409.6
2023-01-01T18:15+00:00,2411.9
2023-01-01T18:30+00:00,2401.9
2023-01-01T18:45+00:00,2286
2023-01-01T19:00+00:00,2248.7
2023-01-01T19:15+00:00,2209.1
2023-01-01T19:30+00:00,2194.1
2023-01-01T19:45+00:00,2133.7
2023-01-01T20:00+00:00,1900.7
2023-01-01T20:15+00:00,1916.6
2023-01-01T20:30+00:00,1917.8
2023-01-01T20:45+00:00,1917.2
2023-01-01T21:00+00:00,1909.2
2023-01-01T21:15+00:00,1904.3
2023-01-01T21:30+00:00,1886.9
2023-01-01T21:45+00:00,1889.1
2023-01-01T22:00+00:00,1874.7
2023-01-01T22:15+00:00,1864.6
2023-01-01T22:30+00:00,1865.2
2023-01-01T22:45+00:00,1858
2023-01-01T23:00+00:00,1988.2
2023-01-01T23:15+00:00,1990.8
2023-01-01T23:30+00:00,1976.1
2023-01-01T23:45+00:00,1976.4
2023-01-02T00:00+00:00,1973
2023-01-02T00:15+00:00,1966.3
2023-01-02T00:30+00:00,1968.6
2023-01-02T00:45+00:00,1971.1
2023-01-02T01:00+00:00,2015.2
2023-01-02T01:15+00:00,2018.8
2023-01-02T01:30+00:00,2011.8
2023-01-02T01:45+00:00,1997.9
2023-01-02T02:00+00:00,2010.6
2023-01-02T02:15+00:00,2018.1
2023-01-02T02:30+00:00,2025.7
2023-01-02T02:45+00:00,2021.9
2023-01-02T03:00+00:00,2052.6
2023-01-02T03:15+00:00,2055.7
2023-01-02T03:30+00:00,2057.8
2023-01-02T03:45+00:00,2047.8
2023-01-02T04:00+00:00,2118.5
2023-01-02T04:15+00:00,2145.3
2023-01-02T04:30+00:00,2160.2
2023-01-02T04:45+00:00,2158.5
2023-01-02T05:00+00:00,2220.4
2023-01-02T05:15+00:00,2236.6
2023-01-02T05:30+00:00,2468.7
2023-01-02T05:45+00:00,2607.6
2023-01-02T06:00+00:00,2653.5
2023-01-02T06:15+00:00,2673.4
2023-01-02T06:30+00:00,2705.2
2023-01-02T06:45+00:00,2734.2
2023-01-02T07:00+00:00,2846.9
2023-01-02T07:15+00:00,2879.9
2023-01-02T07:30+00:00,2939.9
2023-01-02T07:45+00:00,3011.9
2023-01-02T08:00+00:00,3092.3
2023-01-02T08:15+00:00,3168.9
2023-01-02T08:30+00:00,3247.3
2023-01-02T08:45+00:00,3338.1
2023-01-02T09:00+00:00,3388.6
2023-01-02T09:15+00:00,3420.7
2023-01-02T09:30+00:00,3480.7
2023-01-02T09:45+00:00,3538.5
2023-01-02T10:00+00:00,3662.1
2023-01-02T10:15+00:00,3698.3
2023-01-02T10:30+00:00,3766.9
2023-01-02T10:45+00:00,3664.7
2023-01-02T11:00+00:00,3478
2023-01-02T11:15+00:00,3412.9
2023-01-02T11:30+00:00,3344.3
2023-01-02T11:45+00:00,3359
2023-01-02T12:00+00:00,3455
2023-01-02T12:15+00:00,3526.2
2023-01-02T12:30+00:00,3499
2023-01-02T12:45+00:00,3543.2
2023-01-02T13:00+00:00,3706.7
2023-01-02T13:15+00:00,3764.9
2023-01-02T13:30+00:00,3784.5
2023-01-02T13:45+00:00,3788.3
2023-01-02T14:00+00:00,3759.2
2023-01-02T14:15+00:00,3835.5
2023-01-02T14:30+00:00,3903.3
2023-01-02T14:45+00:00,3901.3
2023-01-02T15:00+00:00,3937.5
2023-01-02T15:15+00:00,3983.4
2023-01-02T15:30+00:00,3985.6
2023-01-02T15:45+00:00,3978.4
2023-01-02T16:00+00:00,4154.4
2023-01-02T16:15+00:00,4189
2023-01-02T16:30+00:00,4228.2
2023-01-02T16:45+00:00,4083.8
2023-01-02T17:00+00:00,4290.9
2023-01-02T17:15+00:00,4192
2023-01-02T17:30+00:00,4263.6
2023-01-02T17:45+00:00,4342.9
2023-01-02T18:00+00:00,4385.9
2023-01-02T18:15+00:00,4339.7
2023-01-02T18:30+00:00,4388.5
2023-01-02T18:45+00:00,4346.4
2023-01-02T19:00+00:00,4277.3
2023-01-02T19:15+00:00,4271.8
2023-01-02T19:30+00:00,4227.5
2023-01-02T19:45+00:00,4164.6
2023-01-02T20:00+00:00,4024.8
2023-01-02T20:15+00:00,3886.3
2023-01-02T20:30+00:00,3763.9
2023-01-02T20:45+00:00,3674.7
2023-01-02T21:00+00:00,3832.3
2023-01-02T21:15+00:00,3649
2023-01-02T21:30+00:00,3567
2023-01-02T21:45+00:00,3507.3
2023-01-02T22:00+00:00,3367.5
2023-01-02T22:15+00:00,3207.2
2023-01-02T22:30+00:00,3184.3
2023-01-02T22:45+00:00,3392
2023-01-02T23:00+00:00,3397.4
2023-01-02T23:15+00:00,3407.9
2023-01-02T23:30+00:00,3447.5
2023-01-02T23:45+00:00,3447.5
2023-01-03T00:00+00:00,3417.9
2023-01-03T00:15+00:00,3456.8
2023-01-03T00:30+00:00,3464.6
2023-01-03T00:45+00:00,3437.7
2023-01-03T01:00+00:00,3405.5
2023-01-03T01:15+00:00,3366.1
2023-01-03T01:30+00:00,3345.9
2023-01-03T01:45+00:00,3342.2
2023-01-03T02:00+00:00,3371.6
2023-01-03T02:15+00:00,3388.5
2023-01-03T02:30+00:00,3386.2
2023-01-03T02:45+00:00,3403.7
2023-01-03T03:00+00:00,3490.4
2023-01-03T03:15+00:00,3650.2
2023-01-03T03:30+00:00,3776.7
2023-01-03T03:45+00:00,3913.3
2023-01-03T04:00+00:00,4103.6
2023-01-03T04:15+00:00,4348.1
2023-01-03T04:30+00:00,4768.1
2023-01-03T04:45+00:00,5222.4
2023-01-03T05:00+00:00,5885.2
2023-01-03T05:15+00:00,6414.1
2023-01-03T05:30+00:00,6723.8
2023-01-03T05:45+00:00,6978
2023-01-03T06:00+00:00,7250.5
2023-01-03T06:15+00:00,7516.5
2023-01-03T06:30+00:00,7905.5
2023-01-03T06:45+00:00,8222.7
2023-01-03T07:00+00:00,8301.6
2023-01-03T07:15+00:00,8385.7
2023-01-03T07:30+00:00,8460.9
2023-01-03T07:45+00:00,8622.2
2023-01-03T08:00+00:00,8747.6
2023-01-03T08:15+00:00,8862.9
2023-01-03T08:30+00:00,8895.6
2023-01-03T08:45+00:00,8961.2
2023-01-03T09:00+00:00,8975.3
2023-01-03T09:15+00:00,9000.9
2023-01-03T09:30+00:00,8973.5
2023-01-03T09:45+00:00,8974.9
2023-01-03T10:00+00:00,9018
2023-01-03T10:15+00:00,9036.1
2023-01-03T10:30+00:00,9033.6
2023-01-03T10:45+00:00,9040.5
2023-01-03T11:00+00:00,8947
2023-01-03T11:15+00:00,8953.5
2023-01-03T11:30+00:00,8917.9
2023-01-03T11:45+00:00,8810.2
2023-01-03T12:00+00:00,8749.4
2023-01-03T12:15+00:00,8726.8
2023-01-03T12:30+00:00,8721.5
2023-01-03T12:45+00:00,8757.1
2023-01-03T13:00+00:00,8766.1
2023-01-03T13:15+00:00,8692.3
2023-01-03T13:30+00:00,8617.8
2023-01-03T13:45+00:00,8505.4
2023-01-03T14:00+00:00,8461.6
2023-01-03T14:15+00:00,8467.1
2023-01-03T14:30+00:00,8466.9
2023-01-03T14:45+00:00,8455.3
2023-01-03T15:00+00:00,8389.5
2023-01-03T15:15+00:00,8339
2023-01-03T15:30+00:00,8281.8
2023-01-03T15:45+00:00,8232.9
2023-01-03T16:00+00:00,8176.9
2023-01-03T16:15+00:00,8182.2
2023-01-03T16:30+00:00,8182.3
2023-01-03T16:45+00:00,8180
2023-01-03T17:00+00:00,8157.3
2023-01-03T17:15+00:00,8163
2023-01-03T17:30+00:00,8156.7
2023-01-03T17:45+00:00,8092.1
2023-01-03T18:00+00:00,8047.3
2023-01-03T18:15+00:00,7995.2
2023-01-03T18:30+00:00,7973.5
2023-01-03T18:45+00:00,7954.4
2023-01-03T19:00+00:00,7757.2
2023-01-03T19:15+00:00,7506.8
2023-01-03T19:30+00:00,7253.1
2023-01-03T19:45+00:00,6837.2
2023-01-03T20:00+00:00,6386.5
2023-01-03T20:15+00:00,5566.3
2023-01-03T20:30+00:00,4833.2
2023-01-03T20:45+00:00,4463.3
2023-01-03T21:00+00:00,3955.2
2023-01-03T21:15+00:00,3851
2023-01-03T21:30+00:00,3838.2
2023-01-03T21:45+00:00,3896.2
2023-01-03T22:00+00:00,4007.6
2023-01-03T22:15+00:00,4069.1
2023-01-03T22:30+00:00,4061.8
2023-01-03T22:45+00:00,4115.1
2023-01-03T23:00+00:00,4172.6
2023-01-03T23:15+00:00,4079.4
2023-01-03T23:30+00:00,4013.2
2023-01-03T23:45+00:00,3942.1
2023-01-04T00:00+00:00,3896.4
2023-01-04T00:15+00:00,3943
2023-01-04T00:30+00:00,3962.3
2023-01-04T00:45+00:00,3979.1
2023-01-04T01:00+00:00,4059.1
2023-01-04T01:15+00:00,4153.7
2023-01-04T01:30+00:00,4213.5
2023-01-04T01:45+00:00,4220
2023-01-04T02:00+00:00,4274.9
2023-01-04T02:15+00:00,4292.9
2023-01-04T02:30+00:00,4296.4
2023-01-04T02:45+00:00,4285.2
2023-01-04T03:00+00:00,4146.8
2023-01-04T03:15+00:00,4176.6
2023-01-04T03:30+00:00,4250.9
2023-01-04T03:45+00:00,4272.5
2023-01-04T04:00+00:00,4343.5
2023-01-04T04:15+00:00,4422.2
2023-01-04T04:30+00:00,4567.8
2023-01-04T04:45+00:00,4606.7
2023-01-04T05:00+00:00,4754.3
2023-01-04T05:15+00:00,4836.5
2023-01-04T05:30+00:00,4989.6
2023-01-04T05:45+00:00,5046.3
2023-01-04T06:00+00:00,5094.1
