Datum (UTC),Braunkohle
,Leistung (MW)
2023-12-31T23:00+00:00,3352.9
2023-12-31T23:15+00:00,3477.3
2023-12-31T23:30+00:00,3379.4
2023-12-31T23:45+00:00,3357.9
2024-01-01T00:00+00:00,3361.8
2024-01-01T00:15+00:00,3378.7
2024-01-01T00:30+00:00,3388.2
2024-01-01T00:45+00:00,3362.1
2024-01-01T01:00+00:00,3371.4
2024-01-01T01:15+00:00,3369.2
2024-01-01T01:30+00:00,3381.3
2024-01-01T01:45+00:00,3372.7
2024-01-01T02:00+00:00,3394.2
2024-01-01T02:15+00:00,3405.3
2024-01-01T02:30+00:00,3381.8
2024-01-01T02:45+00:00,3390.7
2024-01-01T03:00+00:00,3393.2
2024-01-01T03:15+00:00,3396.9
2024-01-01T03:30+00:00,3393.1
2024-01-01T03:45+00:00,3391.6
2024-01-01T04:00+00:00,3398.7
2024-01-01T04:15+00:00,3395.7
2024-01-01T04:30+00:00,3387.6
2024-01-01T04:45+00:00,3414.1
2024-01-01T05:00+00:00,3424.4
2024-01-01T05:15+00:00,3426.7
2024-01-01T05:30+00:00,3445.1
2024-01-01T05:45+00:00,3444.3
2024-01-01T06:00+00:00,3447.1
2024-01-01T06:15+00:00,3421.4
2024-01-01T06:30+00:00,3412.5
2024-01-01T06:45+00:00,3401.2
2024-01-01T07:00+00:00,3405.9
2024-01-01T07:15+00:00,3432.9
2024-01-01T07:30+00:00,3424.1
2024-01-01T07:45+00:00,3409.2
2024-01-01T08:00+00:00,3425.4
2024-01-01T08:15+00:00,3426.7
2024-01-01T08:30+00:00,3398.6
2024-01-01T08:45+00:00,3407.1
2024-01-01T09:00+00:00,3453.2
2024-01-01T09:15+00:00,3521
2024-01-01T09:30+00:00,3505.8
2024-01-01T09:45+00:00,3474.2
2024-01-01T10:00+00:00,3399
2024-01-01T10:15+00:00,3385.8
2024-01-01T10:30+00:00,3381.4
2024-01-01T10:45+00:00,3396.6
2024-01-01T11:00+00:00,3385.6
2024-01-01T11:15+00:00,3386.3
2024-01-01T11:30+00:00,3390.1
2024-01-01T11:45+00:00,3392.9
2024-01-01T12:00+00:00,3383.6
2024-01-01T12:15+00:00,3385.8
2024-01-01T12:30+00:00,3384.5
2024-01-01T12:45+00:00,3450.5
2024-01-01T13:00+00:00,3535.5
2024-01-01T13:15+00:00,3576.6
2024-01-01T13:30+00:00,3587.7
2024-01-01T13:45+00:00,3573.3
2024-01-01T14:00+00:00,3538.2
2024-01-01T14:15+00:00,3551.6
2024-01-01T14:30+00:00,3552.9
2024-01-01T14:45+00:00,3544.1
2024-01-01T15:00+00:00,3525
2024-01-01T15:15+00:00,3529.2
2024-01-01T15:30+00:00,3530
2024-01-01T15:45+00:00,3638.6
2024-01-01T16:00+00:00,3669.8
2024-01-01T16:15+00:00,3679.2
2024-01-01T16:30+00:00,3673.1
2024-01-01T16:45+00:00,3743.5
2024-01-01T17:00+00:00,3704.7
2024-01-01T17:15+00:00,3696.6
2024-01-01T17:30+00:00,3668.7
2024-01-01T17:45+00:00,3674
2024-01-01T18:00+00:00,3667.7
2024-01-01T18:15+00:00,3732.2
2024-01-01T18:30+00:00,3767.1
2024-01-01T18:45+00:00,3773.4
2024-01-01T19:00+00:00,3770.2
2024-01-01T19:15+00:00,3764.6
2024-01-01T19:30+00:00,3745.7
2024-01-01T19:45+00:00,3679.9
2024-01-01T20:00+00:00,3646.7
2024-01-01T20:15+00:00,3597.4
2024-01-01T20:30+00:00,3606.2
2024-01-01T20:45+00:00,3611.6
2024-01-01T21:00+00:00,3640.8
2024-01-01T21:15+00:00,3636.2
2024-01-01T21:30+00:00,3657
2024-01-01T21:45+00:00,3622.7
2024-01-01T22:00+00:00,3612.7
2024-01-01T22:15+00:00,3605.2
2024-01-01T22:30+00:00,3606.4
2024-01-01T22:45+00:00,3542.7
2024-01-01T23:00+00:00,3496
2024-01-01T23:15+00:00,3456.8
2024-01-01T23:30+00:00,3480.2
2024-01-01T23:45+00:00,3455.9
2024-01-02T00:00+00:00,3485.7
2024-01-02T00:15+00:00,3464.3
2024-01-02T00:30+00:00,3457.7
2024-01-02T00:45+00:00,3488.6
2024-01-02T01:00+00:00,3453
2024-01-02T01:15+00:00,3439.7
2024-01-02T01:30+00:00,3446.9
2024-01-02T01:45+00:00,3439.5
2024-01-02T02:00+00:00,3447.6
2024-01-02T02:15+00:00,3445.9
2024-01-02T02:30+00:00,3446.7
2024-01-02T02:45+00:00,3422.7
2024-01-02T03:00+00:00,3434.6
2024-01-02T03:15+00:00,3446.3
2024-01-02T03:30+00:00,3423.7
2024-01-02T03:45+00:00,3451.8
2024-01-02T04:00+00:00,3454
2024-01-02T04:15+00:00,3440.1
2024-01-02T04:30+00:00,3418.7
2024-01-02T04:45+00:00,3411.8
2024-01-02T05:00+00:00,3409.7
2024-01-02T05:15+00:00,3395.9
2024-01-02T05:30+00:00,3389.5
2024-01-02T05:45+00:00,3358.6
2024-01-02T06:00+00:00,3334.6
2024-01-02T06:15+00:00,3354.1
2024-01-02T06:30+00:00,3358.8
2024-01-02T06:45+00:00,3354.2
2024-01-02T07:00+00:00,3351.6
2024-01-02T07:15+00:00,3364.5
2024-01-02T07:30+00:00,3368.3
2024-01-02T07:45+00:00,3447.6
2024-01-02T08:00+00:00,3569.6
2024-01-02T08:15+00:00,3600
2024-01-02T08:30+00:00,3625.6
2024-01-02T08:45+00:00,3952.5
2024-01-02T09:00+00:00,3896.5
2024-01-02T09:15+00:00,3953.1
2024-01-02T09:30+00:00,4054.6
2024-01-02T09:45+00:00,4073.3
2024-01-02T10:00+00:00,4284.8
2024-01-02T10:15+00:00,4309.8
2024-01-02T10:30+00:00,4405.2
2024-01-02T10:45+00:00,4535.4
2024-01-02T11:00+00:00,4719.3
2024-01-02T11:15+00:00,4788.4
2024-01-02T11:30+00:00,4884.9
2024-01-02T11:45+00:00,4785.5
2024-01-02T12:00+00:00,4661.7
2024-01-02T12:15+00:00,4742.9
2024-01-02T12:30+00:00,4890.1
2024-01-02T12:45+00:00,4916.2
2024-01-02T13:00+00:00,4937.5
2024-01-02T13:15+00:00,5023.2
2024-01-02T13:30+00:00,5020.6
2024-01-02T13:45+00:00,4949.6
2024-01-02T14:00+00:00,4762.9
2024-01-02T14:15+00:00,4603.1
2024-01-02T14:30+00:00,4611.7
2024-01-02T14:45+00:00,4602.6
2024-01-02T15:00+00:00,4688
2024-01-02T15:15+00:00,4726.7
2024-01-02T15:30+00:00,4732.1
2024-01-02T15:45+00:00,4683.6
2024-01-02T16:00+00:00,4625.2
2024-01-02T16:15+00:00,4507.9
2024-01-02T16:30+00:00,4508.8
2024-01-02T16:45+00:00,4580.4
2024-01-02T17:00+00:00,4748
2024-01-02T17:15+00:00,4493.7
2024-01-02T17:30+00:00,4372
2024-01-02T17:45+00:00,4433.2
2024-01-02T18:00+00:00,4325.4
2024-01-02T18:15+00:00,4231.4
2024-01-02T18:30+00:00,3971.3
2024-01-02T18:45+00:00,3862
2024-01-02T19:00+00:00,3861
2024-01-02T19:15+00:00,3803.6
2024-01-02T19:30+00:00,3812.5
2024-01-02T19:45+00:00,3658.4
2024-01-02T20:00+00:00,3520.7
2024-01-02T20:15+00:00,3500.5
2024-01-02T20:30+00:00,3482.6
2024-01-02T20:45+00:00,3489.2
2024-01-02T21:00+00:00,3498.4
2024-01-02T21:15+00:00,3521.7
2024-01-02T21:30+00:00,3616.5
2024-01-02T21:45+00:00,3612
2024-01-02T22:00+00:00,3713.3
2024-01-02T22:15+00:00,3633.7
2024-01-02T22:30+00:00,3615.9
2024-01-02T22:45+00:00,3549.8
2024-01-02T23:00+00:00,3538.8
2024-01-02T23:15+00:00,3467.7
2024-01-02T23:30+00:00,3431.4
2024-01-02T23:45+00:00,3424.1
2024-01-03T00:00+00:00,3433.7
2024-01-03T00:15+00:00,3428
2024-01-03T00:30+00:00,3419.9
2024-01-03T00:45+00:00,3422.4
2024-01-03T01:00+00:00,3441.8
2024-01-03T01:15+00:00,3430.3
2024-01-03T01:30+00:00,3422.4
2024-01-03T01:45+00:00,3424.2
2024-01-03T02:00+00:00,3403.9
2024-01-03T02:15+00:00,3396.2
2024-01-03T02:30+00:00,3404.3
2024-01-03T02:45+00:00,3406.9
2024-01-03T03:00+00:00,3411
2024-01-03T03:15+00:00,3409.5
2024-01-03T03:30+00:00,3394.4
2024-01-03T03:45+00:00,3393.8
2024-01-03T04:00+00:00,3382.3
2024-01-03T04:15+00:00,3405.4
2024-01-03T04:30+00:00,3412
2024-01-03T04:45+00:00,3436.6
2024-01-03T05:00+00:00,3450
2024-01-03T05:15+00:00,3446.4
2024-01-03T05:30+00:00,3447.1
2024-01-03T05:45+00:00,3427.2
2024-01-03T06:00+00:00,3414.1
2024-01-03T06:15+00:00,3447
2024-01-03T06:30+00:00,3447.8
2024-01-03T06:45+00:00,3432.9
2024-01-03T07:00+00:00,3411
2024-01-03T07:15+00:00,3449.3
2024-01-03T07:30+00:00,3495
2024-01-03T07:45+00:00,3491.7
2024-01-03T08:00+00:00,3612.8
2024-01-03T08:15+00:00,3646.7
2024-01-03T08:30+00:00,3646.9
2024-01-03T08:45+00:00,3625.5
2024-01-03T09:00+00:00,3562.2
2024-01-03T09:15+00:00,3486.3
2024-01-03T09:30+00:00,3467.1
2024-01-03T09:45+00:00,3439.3
2024-01-03T10:00+00:00,3439.5
2024-01-03T10:15+00:00,3439.3
2024-01-03T10:30+00:00,3455
2024-01-03T10:45+00:00,3436.2
2024-01-03T11:00+00:00,3411.1
2024-01-03T11:15+00:00,3437
2024-01-03T11:30+00:00,3445.4
2024-01-03T11:45+00:00,3465.9
2024-01-03T12:00+00:00,3541.6
2024-01-03T12:15+00:00,3578.5
2024-01-03T12:30+00:00,3575.5
2024-01-03T12:45+00:00,3578.2
2024-01-03T13:00+00:00,3414.2
2024-01-03T13:15+00:00,3426.2
2024-01-03T13:30+00:00,3429.8
2024-01-03T13:45+00:00,3425.6
2024-01-03T14:00+00:00,3407.2
2024-01-03T14:15+00:00,3434.7
2024-01-03T14:30+00:00,3589.8
2024-01-03T14:45+00:00,3814.9
2024-01-03T15:00+00:00,4011.8
2024-01-03T15:15+00:00,4257.9
2024-01-03T15:30+00:00,4343
2024-01-03T15:45+00:00,4421
2024-01-03T16:00+00:00,4626.9
2024-01-03T16:15+00:00,4782.8
2024-01-03T16:30+00:00,5091
2024-01-03T16:45+00:00,5118.1
2024-01-03T17:00+00:00,5172.7
2024-01-03T17:15+00:00,5172
2024-01-03T17:30+00:00,5188.5
2024-01-03T17:45+00:00,5180.8
2024-01-03T18:00+00:00,4971.4
2024-01-03T18:15+00:00,4952
2024-01-03T18:30+00:00,4879
2024-01-03T18:45+00:00,4767.1
