Datum (UTC),Last
,Leistung (MW)
2023-12-31T23:00+00:00,40592.6
2023-12-31T23:15+00:00,40301.1
2023-12-31T23:30+00:00,40171.7
2023-12-31T23:45+00:00,39615
2024-01-01T00:00+00:00,39336.8
2024-01-01T00:15+00:00,38991.1
2024-01-01T00:30+00:00,38615.8
2024-01-01T00:45+00:00,38328.8
2024-01-01T01:00+00:00,38408
2024-01-01T01:15+00:00,38034.7
2024-01-01T01:30+00:00,37661.8
2024-01-01T01:45+00:00,37285.7
2024-01-01T02:00+00:00,37307.9
2024-01-01T02:15+00:00,37113.3
2024-01-01T02:30+00:00,37040.6
2024-01-01T02:45+00:00,37031.1
2024-01-01T03:00+00:00,36984.6
2024-01-01T03:15+00:00,36618.9
2024-01-01T03:30+00:00,36612.8
2024-01-01T03:45+00:00,36797.8
2024-01-01T04:00+00:00,37366.9
2024-01-01T04:15+00:00,37147.2
2024-01-01T04:30+00:00,37002
2024-01-01T04:45+00:00,36689.5
2024-01-01T05:00+00:00,36592.6
2024-01-01T05:15+00:00,36780
2024-01-01T05:30+00:00,36707.9
2024-01-01T05:45+00:00,36821.2
2024-01-01T06:00+00:00,37000.4
2024-01-01T06:15+00:00,37292.8
2024-01-01T06:30+00:00,37479.1
2024-01-01T06:45+00:00,37511.8
2024-01-01T07:00+00:00,37688.2
2024-01-01T07:15+00:00,37748.9
2024-01-01T07:30+00:00,38167.1
2024-01-01T07:45+00:00,38333.2
2024-01-01T08:00+00:00,39273
2024-01-01T08:15+00:00,39720.7
2024-01-01T08:30+00:00,40187
2024-01-01T08:45+00:00,40626.6
2024-01-01T09:00+00:00,41318.7
2024-01-01T09:15+00:00,41979.9
2024-01-01T09:30+00:00,42607.9
2024-01-01T09:45+00:00,43330.1
2024-01-01T10:00+00:00,44046.5
2024-01-01T10:15+00:00,44575.3
2024-01-01T10:30+00:00,45221.7
2024-01-01T10:45+00:00,45472.6
2024-01-01T11:00+00:00,45721.1
2024-01-01T11:15+00:00,45795.3
2024-01-01T11:30+00:00,45993.8
2024-01-01T11:45+00:00,45786.3
2024-01-01T12:00+00:00,45413.9
2024-01-01T12:15+00:00,45250.9
2024-01-01T12:30+00:00,45222
2024-01-01T12:45+00:00,45120.3
2024-01-01T13:00+00:00,45197.8
2024-01-01T13:15+00:00,44891.9
2024-01-01T13:30+00:00,44815.8
2024-01-01T13:45+00:00,44711.8
2024-01-01T14:00+00:00,45010.1
2024-01-01T14:15+00:00,45217.1
2024-01-01T14:30+00:00,44836.4
2024-01-01T14:45+00:00,44745.6
2024-01-01T15:00+00:00,45616.2
2024-01-01T15:15+00:00,46083.4
2024-01-01T15:30+00:00,47286.4
2024-01-01T15:45+00:00,48539.7
2024-01-01T16:00+00:00,49669.1
2024-01-01T16:15+00:00,50122.4
2024-01-01T16:30+00:00,50137.2
2024-01-01T16:45+00:00,50553.7
2024-01-01T17:00+00:00,50683.1
2024-01-01T17:15+00:00,50467.4
2024-01-01T17:30+00:00,50106.7
2024-01-01T17:45+00:00,49540.6
2024-01-01T18:00+00:00,49552.4
2024-01-01T18:15+00:00,49269.9
2024-01-01T18:30+00:00,49043.8
2024-01-01T18:45+00:00,48607.3
2024-01-01T19:00+00:00,48230.6
2024-01-01T19:15+00:00,47361
2024-01-01T19:30+00:00,46713.9
2024-01-01T19:45+00:00,45980.7
2024-01-01T20:00+00:00,45991.6
2024-01-01T20:15+00:00,45389.7
2024-01-01T20:30+00:00,44823.9
2024-01-01T20:45+00:00,44390.2
2024-01-01T21:00+00:00,44576.2
2024-01-01T21:15+00:00,43967.7
2024-01-01T21:30+00:00,43381.4
2024-01-01T21:45+00:00,42731.7
2024-01-01T22:00+00:00,42101.3
2024-01-01T22:15+00:00,41382.3
2024-01-01T22:30+00:00,40794.7
2024-01-01T22:45+00:00,39951.2
2024-01-01T23:00+00:00,39286.7
2024-01-01T23:15+00:00,38599.9
2024-01-01T23:30+00:00,38094.3
2024-01-01T23:45+00:00,37578.7
2024-01-02T00:00+00:00,37287.3
2024-01-02T00:15+00:00,37005.1
2024-01-02T00:30+00:00,36956.2
2024-01-02T00:45+00:00,37063.7
2024-01-02T01:00+00:00,37432.8
2024-01-02T01:15+00:00,36996.4
2024-01-02T01:30+00:00,36938.8
2024-01-02T01:45+00:00,36799.4
2024-01-02T02:00+00:00,36951.1
2024-01-02T02:15+00:00,37015.3
2024-01-02T02:30+00:00,37421.2
2024-01-02T02:45+00:00,38046.3
2024-01-02T03:00+00:00,38821.8
2024-01-02T03:15+00:00,39108.6
2024-01-02T03:30+00:00,39632.6
2024-01-02T03:45+00:00,40084.7
2024-01-02T04:00+00:00,41162.7
2024-01-02T04:15+00:00,41606.6
2024-01-02T04:30+00:00,42870.7
2024-01-02T04:45+00:00,44174.8
2024-01-02T05:00+00:00,46016.6
2024-01-02T05:15+00:00,47111.7
2024-01-02T05:30+00:00,48098.1
2024-01-02T05:45+00:00,49677.3
2024-01-02T06:00+00:00,50986.6
2024-01-02T06:15+00:00,52036.8
2024-01-02T06:30+00:00,52993.2
2024-01-02T06:45+00:00,54242.5
2024-01-02T07:00+00:00,55091.9
2024-01-02T07:15+00:00,55931.1
2024-01-02T07:30+00:00,56292.5
2024-01-02T07:45+00:00,56874.4
2024-01-02T08:00+00:00,57140.5
2024-01-02T08:15+00:00,57770.6
2024-01-02T08:30+00:00,58188.6
2024-01-02T08:45+00:00,58625.7
2024-01-02T09:00+00:00,58928.8
2024-01-02T09:15+00:00,59344.3
2024-01-02T09:30+00:00,59659.3
2024-01-02T09:45+00:00,60105.8
2024-01-02T10:00+00:00,60501.5
2024-01-02T10:15+00:00,60785.9
2024-01-02T10:30+00:00,61232.9
2024-01-02T10:45+00:00,61197.5
2024-01-02T11:00+00:00,61305.8
2024-01-02T11:15+00:00,61256.3
2024-01-02T11:30+00:00,61308.2
2024-01-02T11:45+00:00,61208.5
2024-01-02T12:00+00:00,61215.5
2024-01-02T12:15+00:00,60775.9
2024-01-02T12:30+00:00,60477.1
2024-01-02T12:45+00:00,59959.5
2024-01-02T13:00+00:00,59647.3
2024-01-02T13:15+00:00,59829.6
2024-01-02T13:30+00:00,59819.2
2024-01-02T13:45+00:00,59523.8
2024-01-02T14:00+00:00,59927.1
2024-01-02T14:15+00:00,60152.6
2024-01-02T14:30+00:00,60117
2024-01-02T14:45+00:00,60071
2024-01-02T15:00+00:00,60720.8
2024-01-02T15:15+00:00,61111
2024-01-02T15:30+00:00,61712.4
