Datum (UTC),Solar
,Leistung (MW)
2023-12-31T23:00+00:00,3.5
2023-12-31T23:15+00:00,3.6
2023-12-31T23:30+00:00,2.8
2023-12-31T23:45+00:00,2.7
2024-01-01T00:00+00:00,3.4
2024-01-01T00:15+00:00,2.8
2024-01-01T00:30+00:00,2.9
2024-01-01T00:45+00:00,2.7
2024-01-01T01:00+00:00,3.4
2024-01-01T01:15+00:00,2.7
2024-01-01T01:30+00:00,2.9
2024-01-01T01:45+00:00,2.8
2024-01-01T02:00+00:00,3.5
2024-01-01T02:15+00:00,2.8
2024-01-01T02:30+00:00,3.6
2024-01-01T02:45+00:00,2.8
2024-01-01T03:00+00:00,2.7
2024-01-01T03:15+00:00,2.9
2024-01-01T03:30+00:00,2.8
2024-01-01T03:45+00:00,2.7
2024-01-01T04:00+00:00,2.6
2024-01-01T04:15+00:00,2.6
2024-01-01T04:30+00:00,3.4
2024-01-01T04:45+00:00,3.6
2024-01-01T05:00+00:00,2.8
2024-01-01T05:15+00:00,2.9
2024-01-01T05:30+00:00,3.3
2024-01-01T05:45+00:00,3.8
2024-01-01T06:00+00:00,3.1
2024-01-01T06:15+00:00,4
2024-01-01T06:30+00:00,4.3
2024-01-01T06:45+00:00,4.9
2024-01-01T07:00+00:00,10
2024-01-01T07:15+00:00,87.3
2024-01-01T07:30+00:00,491.8
2024-01-01T07:45+00:00,1111.9
2024-01-01T08:00+00:00,1934.9
2024-01-01T08:15+00:00,2832.6
2024-01-01T08:30+00:00,3651.5
2024-01-01T08:45+00:00,4451
2024-01-01T09:00+00:00,5299.5
2024-01-01T09:15+00:00,6099.3
2024-01-01T09:30+00:00,6741.1
2024-01-01T09:45+00:00,7229.9
2024-01-01T10:00+00:00,7773.6
2024-01-01T10:15+00:00,8178.6
2024-01-01T10:30+00:00,8335.2
2024-01-01T10:45+00:00,8257.6
2024-01-01T11:00+00:00,8115.4
2024-01-01T11:15+00:00,8003.4
2024-01-01T11:30+00:00,7672.3
