Date (UTC),Wind offshore,Wind onshore,Solar
,Power (MW),Power (MW),Power (MW)
2023-12-31T23:00+00:00,5838.9,29779.7,3.5
2023-12-31T23:15+00:00,5747.9,29432.1,3.6
2023-12-31T23:30+00:00,5618.1,29438.6,2.8
2023-12-31T23:45+00:00,5512,29684.3,2.7
2024-01-01T00:00+00:00,5463.9,29705.8,3.4
2024-01-01T00:15+00:00,5342.8,29542.8,2.8
2024-01-01T00:30+00:00,5282.2,29295.3,2.9
2024-01-01T00:45+00:00,5294,29428.3,2.7
2024-01-01T01:00+00:00,5360.1,29499.7,3.4
2024-01-01T01:15+00:00,5344.3,29493.7,2.7
2024-01-01T01:30+00:00,5185.6,29641.5,2.9
2024-01-01T01:45+00:00,4864.3,29658.3,2.8
2024-01-01T02:00+00:00,4606.5,29372.7,3.5
2024-01-01T02:15+00:00,4582.5,29080,2.8
2024-01-01T02:30+00:00,4763,28815.1,3.6
2024-01-01T02:45+00:00,4744.4,28882.4,2.8
2024-01-01T03:00+00:00,4579,28877.6,2.7
2024-01-01T03:15+00:00,4443,29113.4,2.9
2024-01-01T03:30+00:00,4385.2,29049,2.8
2024-01-01T03:45+00:00,4350.2,28839.9,2.7
2024-01-01T04:00+00:00,4561.1,29021,2.6
2024-01-01T04:15+00:00,4729.1,29104.6,2.6
2024-01-01T04:30+00:00,4664.6,29205.2,3.4
2024-01-01T04:45+00:00,4543.9,29055.5,3.6
2024-01-01T05:00+00:00,4491.3,29258.6,2.8
2024-01-01T05:15+00:00,4407.2,29058.1,2.9
2024-01-01T05:30+00:00,4198.5,28949.2,3.3
2024-01-01T05:45+00:00,4045.3,29067.3,3.8
2024-01-01T06:00+00:00,3958.9,29249,3.1
2024-01-01T06:15+00:00,3947.6,29523.5,4
2024-01-01T06:30+00:00,3863.9,29841.3,4.3
2024-01-01T06:45+00:00,3817.8,30074.9,4.9
2024-01-01T07:00+00:00,3926.6,30313.3,10
2024-01-01T07:15+00:00,3855.2,30211.5,87.3
2024-01-01T07:30+00:00,3846.1,30323.2,491.8
2024-01-01T07:45+00:00,3797.8,30537.1,1111.9
2024-01-01T08:00+00:00,3408.8,30476.1,1934.9
2024-01-01T08:15+00:00,3132.4,30512.8,2832.6
2024-01-01T08:30+00:00,3110.8,30431.4,3651.5
2024-01-01T08:45+00:00,3274.2,30340.9,4451
2024-01-01T09:00+00:00,3164.2,30436.8,5299.5
2024-01-01T09:15+00:00,3401.2,30423.8,6099.3
2024-01-01T09:30+00:00,3667.6,30434,6741.1
2024-01-01T09:45+00:00,3647.3,29966.1,7229.9
2024-01-01T10:00+00:00,3491,30006.4,7773.6
2024-01-01T10:15+00:00,3499.2,30128.6,8178.6
2024-01-01T10:30+00:00,3638.5,30291.2,8335.2
2024-01-01T10:45+00:00,3664.9,30639.4,8257.6
2024-01-01T11:00+00:00,3357.8,30441.8,8115.4
2024-01-01T11:15+00:00,3212.9,30373.9,8003.4
2024-01-01T11:30+00:00,3316.9,30503.5,7672.3
2024-01-01T11:45+00:00,3296.2,30308.1,7295.5
2024-01-01T12:00+00:00,3329.8,29959.3,6963.7
2024-01-01T12:15+00:00,3296.2,29742,6613.5
2024-01-01T12:30+00:00,3284.7,29668,6196.6
2024-01-01T12:45+00:00,3202.6,29714.2,5690
2024-01-01T13:00+00:00,3155.3,28870,5237.2
2024-01-01T13:15+00:00,3161.7,28641,4587.1
2024-01-01T13:30+00:00,3352.4,28400.2,3859.4
2024-01-01T13:45+00:00,3548.1,28122.7,3114.2
2024-01-01T14:00+00:00,3588.4,27906.5,2376.5
2024-01-01T14:15+00:00,3852.2,27622.6,1681.6
2024-01-01T14:30+00:00,3796.9,27277.1,1051.5
2024-01-01T14:45+00:00,4001.9,26942.4,579.3
2024-01-01T15:00+00:00,4118.2,27130.2,246.5
2024-01-01T15:15+00:00,4173.7,27286.6,65.5
2024-01-01T15:30+00:00,4281.8,27391.3,13.9
2024-01-01T15:45+00:00,4347.7,27711.4,7.8
2024-01-01T16:00+00:00,4456.9,28055.3,4.5
2024-01-01T16:15+00:00,4411.9,27999.2,4.1
2024-01-01T16:30+00:00,4339.8,28034.8,7.8
2024-01-01T16:45+00:00,4583.1,27862.3,7
2024-01-01T17:00+00:00,4674.5,27544.8,7.3
2024-01-01T17:15+00:00,4524.7,27180.2,6.6
2024-01-01T17:30+00:00,4322.9,26755.8,4
2024-01-01T17:45+00:00,4425.2,26662.4,3.4
2024-01-01T18:00+00:00,4528.5,26539,5.8
2024-01-01T18:15+00:00,4537.9,26436.8,6
2024-01-01T18:30+00:00,4578.1,26431.3,2.9
2024-01-01T18:45+00:00,4709.9,26207.6,2.7
2024-01-01T19:00+00:00,4673.4,25967.1,4.2
2024-01-01T19:15+00:00,4602.8,25504.4,2.7
2024-01-01T19:30+00:00,4584.9,25388.3,2.7
2024-01-01T19:45+00:00,4693.6,25150,2.6
2024-01-01T20:00+00:00,4697.2,24724.4,3.4
2024-01-01T20:15+00:00,4739.8,24488.1,2.6
2024-01-01T20:30+00:00,4642.1,24243.6,3.3
2024-01-01T20:45+00:00,4537.8,24013.9,2.6
2024-01-01T21:00+00:00,4696.1,23378.7,2.9
2024-01-01T21:15+00:00,4768.6,23211,2.5
2024-01-01T21:30+00:00,4587.4,22776.6,2.5
2024-01-01T21:45+00:00,4186.9,22480.3,2.5
2024-01-01T22:00+00:00,3922.8,22193.1,3.5
2024-01-01T22:15+00:00,3741.3,21877.8,3.1
2024-01-01T22:30+00:00,3742.7,21857.3,2.8
2024-01-01T22:45+00:00,3483.7,21547.4,2.8
2024-01-01T23:00+00:00,3494.1,21178.1,3.5
2024-01-01T23:15+00:00,3582,20975.9,3.5
2024-01-01T23:30+00:00,3640.8,20777,2.7
2024-01-01T23:45+00:00,3760.2,20451.6,2.7
2024-01-02T00:00+00:00,3762.5,20259,2.6
2024-01-02T00:15+00:00,3770.3,20080.3,2.5
2024-01-02T00:30+00:00,3773.8,19775.8,2.6
2024-01-02T00:45+00:00,3749.1,19552.5,2.6
2024-01-02T01:00+00:00,3784.7,19604,3.3
2024-01-02T01:15+00:00,3658.6,19685.6,2.5
