Datum (UTC),Wind Offshore
,Leistung (MW)
2023-12-31T23:00+00:00,5838.9
2023-12-31T23:15+00:00,5747.9
2023-12-31T23:30+00:00,5618.1
2023-12-31T23:45+00:00,5512
2024-01-01T00:00+00:00,5463.9
2024-01-01T00:15+00:00,5342.8
2024-01-01T00:30+00:00,5282.2
2024-01-01T00:45+00:00,5294
2024-01-01T01:00+00:00,5360.1
2024-01-01T01:15+00:00,5344.3
2024-01-01T01:30+00:00,5185.6
2024-01-01T01:45+00:00,4864.3
2024-01-01T02:00+00:00,4606.5
2024-01-01T02:15+00:00,4582.5
2024-01-01T02:30+00:00,4763
2024-01-01T02:45+00:00,4744.4
2024-01-01T03:00+00:00,4579
2024-01-01T03:15+00:00,4443
2024-01-01T03:30+00:00,4385.2
2024-01-01T03:45+00:00,4350.2
2024-01-01T04:00+00:00,4561.1
2024-01-01T04:15+00:00,4729.1
2024-01-01T04:30+00:00,4664.6
2024-01-01T04:45+00:00,4543.9
2024-01-01T05:00+00:00,4491.3
2024-01-01T05:15+00:00,4407.2
2024-01-01T05:30+00:00,4198.5
2024-01-01T05:45+00:00,4045.3
2024-01-01T06:00+00:00,3958.9
2024-01-01T06:15+00:00,3947.6
2024-01-01T06:30+00:00,3863.9
2024-01-01T06:45+00:00,3817.8
2024-01-01T07:00+00:00,3926.6
2024-01-01T07:15+00:00,3855.2
2024-01-01T07:30+00:00,3846.1
2024-01-01T07:45+00:00,3797.8
2024-01-01T08:00+00:00,3408.8
2024-01-01T08:15+00:00,3132.4
2024-01-01T08:30+00:00,3110.8
2024-01-01T08:45+00:00,3274.2
2024-01-01T09:00+00:00,3164.2
2024-01-01T09:15+00:00,3401.2
2024-01-01T09:30+00:00,3667.6
2024-01-01T09:45+00:00,3647.3
2024-01-01T10:00+00:00,3491
2024-01-01T10:15+00:00,3499.2
2024-01-01T10:30+00:00,3638.5
2024-01-01T10:45+00:00,3664.9
2024-01-01T11:00+00:00,3357.8
2024-01-01T11:15+00:00,3212.9
2024-01-01T11:30+00:00,3316.9
2024-01-01T11:45+00:00,3296.2
2024-01-01T12:00+00:00,3329.8
2024-01-01T12:15+00:00,3296.2
2024-01-01T12:30+00:00,3284.7
2024-01-01T12:45+00:00,3202.6
2024-01-01T13:00+00:00,3155.3
2024-01-01T13:15+00:00,3161.7
2024-01-01T13:30+00:00,3352.4
2024-01-01T13:45+00:00,3548.1
2024-01-01T14:00+00:00,3588.4
2024-01-01T14:15+00:00,3852.2
2024-01-01T14:30+00:00,3796.9
2024-01-01T14:45+00:00,4001.9
2024-01-01T15:00+00:00,4118.2
2024-01-01T15:15+00:00,4173.7
2024-01-01T15:30+00:00,4281.8
2024-01-01T15:45+00:00,4347.7
2024-01-01T16:00+00:00,4456.9
2024-01-01T16:15+00:00,4411.9
2024-01-01T16:30+00:00,4339.8
2024-01-01T16:45+00:00,4583.1
2024-01-01T17:00+00:00,4674.5
2024-01-01T17:15+00:00,4524.7
2024-01-01T17:30+00:00,4322.9
2024-01-01T17:45+00:00,4425.2
2024-01-01T18:00+00:00,4528.5
2024-01-01T18:15+00:00,4537.9
2024-01-01T18:30+00:00,4578.1
2024-01-01T18:45+00:00,4709.9
2024-01-01T19:00+00:00,4673.4
2024-01-01T19:15+00:00,4602.8
2024-01-01T19:30+00:00,4584.9
2024-01-01T19:45+00:00,4693.6
2024-01-01T20:00+00:00,4697.2
2024-01-01T20:15+00:00,4739.8
2024-01-01T20:30+00:00,4642.1
2024-01-01T20:45+00:00,4537.8
2024-01-01T21:00+00:00,4696.1
2024-01-01T21:15+00:00,4768.6
2024-01-01T21:30+00:00,4587.4
2024-01-01T21:45+00:00,4186.9
2024-01-01T22:00+00:00,3922.8
2024-01-01T22:15+00:00,3741.3
2024-01-01T22:30+00:00,3742.7
2024-01-01T22:45+00:00,3483.7
2024-01-01T23:00+00:00,3494.1
2024-01-01T23:15+00:00,3582
2024-01-01T23:30+00:00,3640.8
2024-01-01T23:45+00:00,3760.2
2024-01-02T00:00+00:00,3762.5
