Datum (UTC),Wind Onshore
,Leistung (MW)
2023-12-31T23:00+00:00,29779.7
2023-12-31T23:15+00:00,29432.1
2023-12-31T23:30+00:00,29438.6
2023-12-31T23:45+00:00,29684.3
2024-01-01T00:00+00:00,29705.8
2024-01-01T00:15+00:00,29542.8
2024-01-01T00:30+00:00,29295.3
2024-01-01T00:45+00:00,29428.3
2024-01-01T01:00+00:00,29499.7
2024-01-01T01:15+00:00,29493.7
2024-01-01T01:30+00:00,29641.5
2024-01-01T01:45+00:00,29658.3
2024-01-01T02:00+00:00,29372.7
2024-01-01T02:15+00:00,29080
2024-01-01T02:30+00:00,28815.1
2024-01-01T02:45+00:00,28882.4
2024-01-01T03:00+00:00,28877.6
2024-01-01T03:15+00:00,29113.4
2024-01-01T03:30+00:00,29049
2024-01-01T03:45+00:00,28839.9
2024-01-01T04:00+00:00,29021
2024-01-01T04:15+00:00,29104.6
2024-01-01T04:30+00:00,29205.2
2024-01-01T04:45+00:00,29055.5
2024-01-01T05:00+00:00,29258.6
2024-01-01T05:15+00:00,29058.1
2024-01-01T05:30+00:00,28949.2
2024-01-01T05:45+00:00,29067.3
2024-01-01T06:00+00:00,29249
2024-01-01T06:15+00:00,29523.5
2024-01-01T06:30+00:00,29841.3
2024-01-01T06:45+00:00,30074.9
2024-01-01T07:00+00:00,30313.3
2024-01-01T07:15+00:00,30211.5
2024-01-01T07:30+00:00,30323.2
2024-01-01T07:45+00:00,30537.1
2024-01-01T08:00+00:00,30476.1
2024-01-01T08:15+00:00,30512.8
2024-01-01T08:30+00:00,30431.4
2024-01-01T08:45+00:00,30340.9
2024-01-01T09:00+00:00,30436.8
2024-01-01T09:15+00:00,30423.8
2024-01-01T09:30+00:00,30434
2024-01-01T09:45+00:00,29966.1
2024-01-01T10:00+00:00,30006.4
2024-01-01T10:15+00:00,30128.6
2024-01-01T10:30+00:00,30291.2
2024-01-01T10:45+00:00,30639.4
2024-01-01T11:00+00:00,30441.8
2024-01-01T11:15+00:00,30373.9
2024-01-01T11:30+00:00,30503.5
2024-01-01T11:45+00:00,30308.1
2024-01-01T12:00+00:00,29959.3
2024-01-01T12:15+00:00,29742
2024-01-01T12:30+00:00,29668
2024-01-01T12:45+00:00,29714.2
2024-01-01T13:00+00:00,28870
2024-01-01T13:15+00:00,28641
2024-01-01T13:30+00:00,28400.2
2024-01-01T13:45+00:00,28122.7
2024-01-01T14:00+00:00,27906.5
2024-01-01T14:15+00:00,27622.6
2024-01-01T14:30+00:00,27277.1
2024-01-01T14:45+00:00,26942.4
2024-01-01T15:00+00:00,27130.2
2024-01-01T15:15+00:00,27286.6
2024-01-01T15:30+00:00,27391.3
2024-01-01T15:45+00:00,27711.4
2024-01-01T16:00+00:00,28055.3
2024-01-01T16:15+00:00,27999.2
2024-01-01T16:30+00:00,28034.8
2024-01-01T16:45+00:00,27862.3
2024-01-01T17:00+00:00,27544.8
2024-01-01T17:15+00:00,27180.2
2024-01-01T17:30+00:00,26755.8
2024-01-01T17:45+00:00,26662.4
2024-01-01T18:00+00:00,26539
2024-01-01T18:15+00:00,26436.8
2024-01-01T18:30+00:00,26431.3
2024-01-01T18:45+00:00,26207.6
2024-01-01T19:00+00:00,25967.1
2024-01-01T19:15+00:00,25504.4
2024-01-01T19:30+00:00,25388.3
2024-01-01T19:45+00:00,25150
2024-01-01T20:00+00:00,24724.4
2024-01-01T20:15+00:00,24488.1
