Datum (UTC),Last
,Leistung (MW)
2023-12-31T23:00+00:00,3767.2
2024-01-01T00:00+00:00,3704.4
2024-01-01T01:00+00:00,3638.3
2024-01-01T02:00+00:00,3659.8
2024-01-01T03:00+00:00,3564.3
2024-01-01T04:00+00:00,3538.1
2024-01-01T05:00+00:00,3552
2024-01-01T06:00+00:00,3633.9
2024-01-01T07:00+00:00,3771.6
2024-01-01T08:00+00:00,3930.4
2024-01-01T09:00+00:00,4072.4
2024-01-01T10:00+00:00,4189.4
2024-01-01T11:00+00:00,4266
2024-01-01T12:00+00:00,4356.9
2024-01-01T13:00+00:00,4350.2
2024-01-01T14:00+00:00,4360.4
2024-01-01T15:00+00:00,4382.6
2024-01-01T16:00+00:00,4560.9
2024-01-01T17:00+00:00,4475.1
2024-01-01T18:00+00:00,4229.2
2024-01-01T19:00+00:00,4096.6
2024-01-01T20:00+00:00,4034.2
2024-01-01T21:00+00:00,3889.5
2024-01-01T22:00+00:00,3766.4
2024-01-01T23:00+00:00,3837.8
2024-01-02T00:00+00:00,3826.2
2024-01-02T01:00+00:00,3799.3
2024-01-02T02:00+00:00,3828.6
2024-01-02T03:00+00:00,3829.9
2024-01-02T04:00+00:00,3914.2
2024-01-02T05:00+00:00,4304.1
2024-01-02T06:00+00:00,4656
2024-01-02T07:00+00:00,4924.9
2024-01-02T08:00+00:00,5071.1
2024-01-02T09:00+00:00,5160.2
2024-01-02T10:00+00:00,5202.6
2024-01-02T11:00+00:00,5160.6
2024-01-02T12:00+00:00,5196.3
2024-01-02T13:00+00:00,5176.9
2024-01-02T14:00+00:00,5226
2024-01-02T15:00+00:00,5389.9
2024-01-02T16:00+00:00,5643.1
2024-01-02T17:00+00:00,5468.6
2024-01-02T18:00+00:00,5406.2
2024-01-02T19:00+00:00,5074.7
2024-01-02T20:00+00:00,5033.8
2024-01-02T21:00+00:00,4757.3
2024-01-02T22:00+00:00,4601.1
2024-01-02T23:00+00:00,4760.6
2024-01-03T00:00+00:00,4842.9
2024-01-03T01:00+00:00,4712.1
2024-01-03T02:00+00:00,4577.9
2024-01-03T03:00+00:00,4583.5
2024-01-03T04:00+00:00,4734.5
2024-01-03T05:00+00:00,5124.4
2024-01-03T06:00+00:00,5471.6
2024-01-03T07:00+00:00,5759.8
2024-01-03T08:00+00:00,5787.1
2024-01-03T09:00+00:00,5870.2
2024-01-03T10:00+00:00,5930.5
2024-01-03T11:00+00:00,5868.7
2024-01-03T12:00+00:00,5872.8
2024-01-03T13:00+00:00,5734.6
2024-01-03T14:00+00:00,5580.4
2024-01-03T15:00+00:00,5720.6
2024-01-03T16:00+00:00,5871.2
2024-01-03T17:00+00:00,5628.1
2024-01-03T18:00+00:00,5321.9
2024-01-03T19:00+00:00,5075.4
2024-01-03T20:00+00:00,4958.5
2024-01-03T21:00+00:00,4925.1
2024-01-03T22:00+00:00,4688.2
2024-01-03T23:00+00:00,4778.2
2024-01-04T00:00+00:00,4829.3
2024-01-04T01:00+00:00,4786.8
2024-01-04T02:00+00:00,4776.2
2024-01-04T03:00+00:00,4695.7
2024-01-04T04:00+00:00,4717
2024-01-04T05:00+00:00,4923.1
