Datum (UTC),Last
,Leistung (MW)
2023-12-31T23:00+00:00,52847
2024-01-01T00:00+00:00,51600
2024-01-01T01:00+00:00,50992
2024-01-01T02:00+00:00,48187
2024-01-01T03:00+00:00,46479
2024-01-01T04:00+00:00,46285
2024-01-01T05:00+00:00,46633
2024-01-01T06:00+00:00,46820
2024-01-01T07:00+00:00,46877
2024-01-01T08:00+00:00,47690
2024-01-01T09:00+00:00,49158
2024-01-01T10:00+00:00,50275
2024-01-01T11:00+00:00,50897
2024-01-01T12:00+00:00,49197
2024-01-01T13:00+00:00,48355
2024-01-01T14:00+00:00,47879
2024-01-01T15:00+00:00,47633
2024-01-01T16:00+00:00,50761
2024-01-01T17:00+00:00,53965
2024-01-01T18:00+00:00,54973
2024-01-01T19:00+00:00,53641
2024-01-01T20:00+00:00,52244
2024-01-01T21:00+00:00,53034
2024-01-01T22:00+00:00,53157
2024-01-01T23:00+00:00,50832
2024-01-02T00:00+00:00,49234
2024-01-02T01:00+00:00,48397
2024-01-02T02:00+00:00,46148
2024-01-02T03:00+00:00,45319
2024-01-02T04:00+00:00,46963
2024-01-02T05:00+00:00,50314
2024-01-02T06:00+00:00,53487
2024-01-02T07:00+00:00,55847
2024-01-02T08:00+00:00,57652
2024-01-02T09:00+00:00,59159
2024-01-02T10:00+00:00,60575
2024-01-02T11:00+00:00,61433
2024-01-02T12:00+00:00,60080
2024-01-02T13:00+00:00,59888
2024-01-02T14:00+00:00,58747
2024-01-02T15:00+00:00,57433
2024-01-02T16:00+00:00,58778
2024-01-02T17:00+00:00,61040
2024-01-02T18:00+00:00,61209
2024-01-02T19:00+00:00,58059
2024-01-02T20:00+00:00,55019
2024-01-02T21:00+00:00,54961
2024-01-02T22:00+00:00,54616
2024-01-02T23:00+00:00,52058
2024-01-03T00:00+00:00,50384
2024-01-03T01:00+00:00,49378
2024-01-03T02:00+00:00,47164
2024-01-03T03:00+00:00,46297
2024-01-03T04:00+00:00,47997
2024-01-03T05:00+00:00,52066
2024-01-03T06:00+00:00,55581
2024-01-03T07:00+00:00,58221
2024-01-03T08:00+00:00,59455
2024-01-03T09:00+00:00,60022
2024-01-03T10:00+00:00,60811
2024-01-03T11:00+00:00,60735
2024-01-03T12:00+00:00,59067
2024-01-03T13:00+00:00,58893
2024-01-03T14:00+00:00,57683
2024-01-03T15:00+00:00,56846
2024-01-03T16:00+00:00,58996
2024-01-03T17:00+00:00,61693
2024-01-03T18:00+00:00,62084
2024-01-03T19:00+00:00,58888
2024-01-03T20:00+00:00,55723
2024-01-03T21:00+00:00,55781
2024-01-03T22:00+00:00,55519
2024-01-03T23:00+00:00,53126
2024-01-04T00:00+00:00,51288
2024-01-04T01:00+00:00,50469
2024-01-04T02:00+00:00,48260
2024-01-04T03:00+00:00,47341
2024-01-04T04:00+00:00,49266
2024-01-04T05:00+00:00,53286
2024-01-04T06:00+00:00,57123
2024-01-04T07:00+00:00,60152
2024-01-04T08:00+00:00,60875
2024-01-04T09:00+00:00,61051
2024-01-04T10:00+00:00,61337
2024-01-04T11:00+00:00,60736
2024-01-04T12:00+00:00,58823
2024-01-04T13:00+00:00,58079
2024-01-04T14:00+00:00,57162
2024-01-04T15:00+00:00,56459
2024-01-04T16:00+00:00,58760
2024-01-04T17:00+00:00,61750
2024-01-04T18:00+00:00,62120
2024-01-04T19:00+00:00,58945
2024-01-04T20:00+00:00,56198
2024-01-04T21:00+00:00,56465
2024-01-04T22:00+00:00,56200
2024-01-04T23:00+00:00,53666
2024-01-05T00:00+00:00,51800
2024-01-05T01:00+00:00,51003
2024-01-05T02:00+00:00,48917
2024-01-05T03:00+00:00,48163
2024-01-05T04:00+00:00,50244
2024-01-05T05:00+00:00,54104
2024-01-05T06:00+00:00,57936
2024-01-05T07:00+00:00,60997
2024-01-05T08:00+00:00,62376
2024-01-05T09:00+00:00,62854
2024-01-05T10:00+00:00,63285
2024-01-05T11:00+00:00,62681
2024-01-05T12:00+00:00,60656
2024-01-05T13:00+00:00,60136
2024-01-05T14:00+00:00,59026
