"Die im Download bereitgestellten Daten zur Day Ahead Auktion sind ausschließlich für den privaten und internen Gebrauch bestimmt. Die Verwendung jeglicher Daten, ob in ihrer Rohform oder abgeleiteten Form, zu externen oder kommerziellen Zwecken ist ausdrücklich untersagt. Sollten Sie eine Lizenzierung für marktbezogene Daten benötigen, wenden Sie sich bitte direkt an die ursprünglichen Datenanbieter, einschließlich, aber nicht beschränkt auf EPEX SPOT SE und Nord Pool AS. Abweichend davon werden die Preisdaten der Day Ahead Auktion für folgende Gebotszonen unter der Lizenz CC BY 4.0 (creativecommons.org/licenses/by/4.0) mit der Quelle Bundesnetzagentur | SMARD.de unverändert veröffentlicht: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",
Datum (UTC),Day Ahead Auktion (FR)
,"Preis (EUR/MWh, EUR/tCO2)"
2022-12-31T23:00+00:00,0
2023-01-01T00:00+00:00,-0.1
2023-01-01T01:00+00:00,-1.33
2023-01-01T02:00+00:00,-4.08
2023-01-01T03:00+00:00,-4.16
2023-01-01T04:00+00:00,-3.58
2023-01-01T05:00+00:00,-4.37
2023-01-01T06:00+00:00,-0.12
2023-01-01T07:00+00:00,-0.06
2023-01-01T08:00+00:00,0
2023-01-01T09:00+00:00,0
2023-01-01T10:00+00:00,0
2023-01-01T11:00+00:00,0
2023-01-01T12:00+00:00,0.1
2023-01-01T13:00+00:00,1.5
2023-01-01T14:00+00:00,23.5
2023-01-01T15:00+00:00,36.54
2023-01-01T16:00+00:00,46.03
2023-01-01T17:00+00:00,44.43
2023-01-01T18:00+00:00,54.95
2023-01-01T19:00+00:00,47.38
2023-01-01T20:00+00:00,40.24
2023-01-01T21:00+00:00,45.96
2023-01-01T22:00+00:00,35
2023-01-01T23:00+00:00,61.38
2023-01-02T00:00+00:00,52.68
2023-01-02T01:00+00:00,52.93
2023-01-02T02:00+00:00,42.75
2023-01-02T03:00+00:00,50.08
2023-01-02T04:00+00:00,67.91
2023-01-02T05:00+00:00,105.08
2023-01-02T06:00+00:00,140.64
2023-01-02T07:00+00:00,149.8
2023-01-02T08:00+00:00,154.66
2023-01-02T09:00+00:00,145.61
2023-01-02T10:00+00:00,143.35
2023-01-02T11:00+00:00,144.38
2023-01-02T12:00+00:00,143.76
2023-01-02T13:00+00:00,148.2
2023-01-02T14:00+00:00,155.34
2023-01-02T15:00+00:00,163.17
2023-01-02T16:00+00:00,173.8
2023-01-02T17:00+00:00,174.74
2023-01-02T18:00+00:00,165.76
2023-01-02T19:00+00:00,153
2023-01-02T20:00+00:00,141.67
2023-01-02T21:00+00:00,134.91
2023-01-02T22:00+00:00,124.22
2023-01-02T23:00+00:00,130.01
2023-01-03T00:00+00:00,120
2023-01-03T01:00+00:00,118.76
2023-01-03T02:00+00:00,115
2023-01-03T03:00+00:00,113.63
2023-01-03T04:00+00:00,116.27
2023-01-03T05:00+00:00,138.92
2023-01-03T06:00+00:00,159.92
2023-01-03T07:00+00:00,169.17
2023-01-03T08:00+00:00,171.18
2023-01-03T09:00+00:00,168.57
2023-01-03T10:00+00:00,169.49
2023-01-03T11:00+00:00,164.5
2023-01-03T12:00+00:00,160.91
2023-01-03T13:00+00:00,163.06
2023-01-03T14:00+00:00,166.46
2023-01-03T15:00+00:00,166.88
2023-01-03T16:00+00:00,171.23
2023-01-03T17:00+00:00,169.01
2023-01-03T18:00+00:00,160.99
2023-01-03T19:00+00:00,149.62
2023-01-03T20:00+00:00,131.5
2023-01-03T21:00+00:00,115.1
2023-01-03T22:00+00:00,95.02
2023-01-03T23:00+00:00,82.03
2023-01-04T00:00+00:00,72.22
2023-01-04T01:00+00:00,43.91
2023-01-04T02:00+00:00,16.28
2023-01-04T03:00+00:00,8.56
2023-01-04T04:00+00:00,20.98
2023-01-04T05:00+00:00,72.45
2023-01-04T06:00+00:00,105.1
2023-01-04T07:00+00:00,134.16
2023-01-04T08:00+00:00,129.3
2023-01-04T09:00+00:00,120.7
2023-01-04T10:00+00:00,96.77
